Date,Time,Compliant,Compliance %,Missing Items,Present Items
2025-11-02,00:50:24,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:25,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:26,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:27,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:27,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:28,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:29,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:30,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:31,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:31,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:32,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:33,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:34,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:35,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:35,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:36,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:37,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:38,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:38,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:39,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:40,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:41,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:41,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:42,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:43,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:44,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:44,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:45,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:46,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:47,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:47,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:48,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:49,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:50,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:51,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
2025-11-02,00:50:51,No,25.0%,"Safety Vest, Safety Gloves, Safety Glasses",Hard Hat
